Display Name ,Inventory Item: Frame Size ,Inventory Item: Wheel Size ,Inventory Item: Price Point ,Inventory Item: Web Category ,Current Quantity Available 
Merida21 Speeder 20 SM Anthracite Black,50cm,"29""",Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,1
Merida21 Speeder 20 W WSM Matt Blue White,50cm,"29""",Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,1
Merida21 Speeder 10 V W WSM Glossy Grey Black Teal,50cm,700c,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,2
Merida21 Scultura Rim 100 W WSM Blue White,50cm,700c,Bikes 1000 - 1500,Root Catalog/Bikes/Road Bikes/Drop Bar Road,2
Merida21 Speeder 100 SM Dark Blue Blue White,50cm,700c,Bikes 1000 - 1500,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,1
Merida21 Speeder 100 SM Matt Cool Grey Blue Red,50cm,700c,Bikes 1000 - 1500,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,1
Cube 21 Nature Hybrid ONE 400 SM black n red,50cm,700c,Bikes 2000 - 3000,Root Catalog/Electric Bikes/Electric Hybrid Bikes,1
Pedal Pursuit 2 Metallic Blue 51cm,51cm,700c,Bikes 0400 - 0700,Root Catalog/Bikes/Road Bikes/Drop Bar Road,1
Pedal Jet 2 Black 51cm,51cm,700c,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,1
Merida21 Crossway 100 MD Glossy Black Matt Silver,51cm,700c,Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Merida21 Crossway 20 MD Silk Anthracite Grey Black,51cm,700c,Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,2
Pedal Messenger Tokyo 52cm,52cm,,Bikes 0 - 0400,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,2
Pedal Messenger Gotham 52cm,52cm,,Bikes 0 - 0400,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,1
Pedal Messenger 3 Berlin Midnight Blue 52cm,52cm,,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,1
Merida21 Speeder 20 W WMD Matt Blue White,52cm,"29""",Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,1
Merida21 Speeder 20 SM/MD Anthracite Black,52cm,"29""",Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,1
Merida21 Crossway 10 V MD/LG Silk Anthracite Grey Black,52cm,700c,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Merida21 Speeder 10 V SM/MD Matt Black Silver,52cm,700c,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,1
Merida21 Speeder 10 V W WMD Glossy Grey Black Teal,52cm,700c,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,1
Pedal Raider 2 Navy Tan 52cm,52cm,700c,Bikes 0700 - 1000,Root Catalog/Bikes/Road Bikes/Drop Bar Road,1
Merida21 Speeder 200 SM/MD Golden Red Black,52cm,700c,Bikes 1000 - 1500,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,2
Merida21 Speeder 100 SM/MD Dark Blue Blue White,52cm,700c,Bikes 1000 - 1500,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,1
Merida21 Scultura 400 SM/MD Golden Red Grey,52cm,700c,Bikes 2000 - 3000,Root Catalog/Bikes/Road Bikes/Drop Bar Road,1
Merida21 Speeder 20 MD/LG Anthracite Black,54cm,"29""",Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,2
Pedal Pursuit 2 Metallic Blue 54cm,54cm,700c,Bikes 0400 - 0700,Root Catalog/Bikes/Road Bikes/Drop Bar Road,2
