"Display Name ","Inventory Item: Size ","Inventory Item: Wheel Size ","Inventory Item: Price Point ","Inventory Item: Web Category ",Current Quantity Available
Merida21 eSpresso City 400 EQ SM Silk Blue Black,SM,700c,Bikes 4000 - 5000,Root Catalog/Electric Bikes/Electric Hybrid Bikes,1
Pedal Thrasher 3 Black Red 17in,SM,"27.5"" (650b)",Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/27.5 inch,2
Merida21 Big Seven 10 MD SM Race Red White,SM,"27.5"" (650b)",Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Merida21 Big Seven 10 D SM Anthracite Green Silver,SM,"27.5"" (650b)",Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/27.5 inch,2
Silverback 21 Stride Comp 27 SM 38cm Grey/Gloss Lime,SM,"27.5"" (650b)",Bikes 0700 - 1000,Root Catalog/Bikes/Mountain Bikes/Hardtail,1
Norco 21 Storm 3 27 SM Charcoal/Silver,SM,"27.5"" (650b)",Bikes 0700 - 1000,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Merida21 Big Seven 20 SM Teal Blue Lime,SM,"27.5"" (650b)",Bikes 0700 - 1000,Root Catalog/Bikes/Mountain Bikes/27.5 inch,2
Merida21 Big Seven 60 SM Purple Teal Blue,SM,"27.5"" (650b)",Bikes 0700 - 1000,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Merida21 Big Seven 60 SM Matt Bronze Black,SM,"27.5"" (650b)",Bikes 0700 - 1000,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Merida21 Big Seven 20 SM Matt Anthracite Silver,SM,"27.5"" (650b)",Bikes 0700 - 1000,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Merida21 Big Seven 100 SM Anthracite Black,SM,"27.5"" (650b)",Bikes 1000 - 1500,Root Catalog/Bikes/Mountain Bikes/27.5 inch,2
Norco 21 Scene VLT SM Green/Green,SM,"27.5"" (650b)",Bikes 3000 - 4000,Root Catalog/Electric Bikes/Electric Hybrid Bikes,1
Norco Sight VLT C1 29 Slate Blue Orange 2020 XL,XL,,Bikes 7000 plus,Root Catalog/Electric Bikes/Electric Mountain Bikes/Electric Dual Suspension Mountain Bike,1
Silverback 21 Stride Delight 29 XL 50cm Black/Red,XL,,Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/Hardtail,1
Silverback 21 Stride Se 27.5 XL 50cm Orange/Black,XL,,Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Silverback 21 Stride Sport 29 XL 50cm Anthracite/Gloss Lime,XL,,Bikes 0700 - 1000,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Merida21 Big Nine 60 XL Matt Bronze Black,XL,"29""",Bikes 0700 - 1000,Root Catalog/Bikes/Mountain Bikes/Hardtail,1
Merida21 Big Nine 20 XL Matt Anthracite Silver,XL,"29""",Bikes 0700 - 1000,Root Catalog/Bikes/Mountain Bikes/Hardtail,2
Silverback 21 Stride Comp 29 XL 50cm Grey/Gloss Lime,XL,"29""",Bikes 0700 - 1000,Root Catalog/Bikes/Mountain Bikes/Hardtail,2
Merida21 Big Nine 100 XL Anthracite Black,XL,"29""",Bikes 1000 - 1500,Root Catalog/Bikes/Mountain Bikes/Hardtail,1
Merida21 Scultura Rim 400 XL Metallic Black Grey,XL,700c,Bikes 1500 - 2000,Root Catalog/Bikes/Road Bikes/Drop Bar Road,1
Norco 21 Scene 2 XL Blue/Black,XL,"27.5"" (650b)",Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Silverback 21 Stride Delight 27 XS 35cm Black/Red,XS,,Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/Hardtail,1
Apollo Summit 10 Gloss Black Gloss Lime Gloss Blue 2019 13in,XS,,Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/Hardtail,1
Silverback 21 Stride Sport 27 XS 35cm Anthracite/Gloss Lime,XS,,Bikes 0700 - 1000,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Merida21 Matts 6.5 V XS Red Black,XS,"26""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/26"" Wheel (145 - 160cm)",5
Merida21 Matts 6.5 V XS Black Green,XS,"26""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/26"" Wheel (145 - 160cm)",12
Merida21 Crossway 20 XS Silk Anthracite Grey Black,XS,700c,Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Merida21 Speeder 100 XS Dark Blue Blue White,XS,700c,Bikes 1000 - 1500,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,1
Pedal Raptor Black Green 14in,XS,"27.5"" (650b)",Bikes 0 - 0400,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Pedal Thrasher 3 Black Red 15in,XS,"27.5"" (650b)",Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Norco 2021 Storm 5 27.5 XS Silver/Black,XS,"27.5"" (650b)",Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Norco 2021 Storm 4 27.5 XS Cavalry Blue/Black,XS,"27.5"" (650b)",Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Norco 2021 Storm 5 27.5 XS Burnt Orange/Charcoal,XS,"27.5"" (650b)",Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Merida21 Big Seven 10 D XS Anthracite Green Silver,XS,"27.5"" (650b)",Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Silverback 21 Stride Comp 27 XS 35cm Grey/Gloss Lime,XS,"27.5"" (650b)",Bikes 0700 - 1000,Root Catalog/Bikes/Mountain Bikes/Hardtail,1
Merida21 Big Seven 20 XS Matt Anthracite Silver,XS,"27.5"" (650b)",Bikes 0700 - 1000,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Velectrix Foldaway Red 2020,UNI,"20""",Bikes 1500 - 2000,Root Catalog/Bikes/Commuter & Recreation Bikes/Folding,2
Velectrix Foldaway Grey 2020,UNI,"20""",Bikes 1500 - 2000,Root Catalog/Bikes/Commuter & Recreation Bikes/Folding,1
Pedal Copacabana Matt Black,UNI,"26""",Bikes 0 - 0400,Root Catalog/Bikes/Cruiser Bikes,1
XDS E-Voke Hub-Drive Hybrid E-Bike 700c 18in Mens,UNI,700c,Bikes 3000 - 4000,,1
Silverback 21 Splash Delight 27 48cm Watermelon,WLG,,Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Pedal Uptown DLX Light Blue 18in,WMD,,Bikes 0400 - 0700,Root Catalog/Bikes/Cruiser Bikes,1
Silverback 21 Splash 27.5 Se 43cm Black/Watermelon,WMD,,Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Bike18 Norco Yorkville ST C2 Blue Silver WMD,WMD,,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,2
Bike18 Norco Yorkville ST C1 Black Silver WMD,WMD,,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,2
Bike18 Norco Scene 3 Raspberry Pink WMD,WMD,,Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
